ami,income1,income2,income3,income4,income5,income6,income7,income8,rent0,rent1,rent2,rent3,rent4,rent5,buy1,buy2,buy3,buy4,buy5
0.3,27300,31200,35100,38950,42100,45200,48650,54150,682,731,877,1013,1130,1285,86500,105000,122000,136000,154500
0.5,45450,51950,58450,64900,70100,75300,80500,85700,1136,1217,1461,1687,1882,2077,146500,176000,204000,227500,251500
0.55,49995,57145,64295,71390,77110,82830,88550,94270,1249,1339,1607,1856,2070,2285,161500,194500,224500,250500,277000
0.6,54540,62340,70140,77880,84120,90360,96600,102840,1363,1461,1753,2025,2259,2493,176000,212000,245000,274000,302500
0.65,59085,67535,75985,84370,91130,97890,104650,111410,1477,1582,1899,2193,2447,2700,191500,229500,265500,297000,327500
0.7,63630,72730,81830,90860,98140,105420,112700,119980,1590,1704,2045,2362,2635,2908,206000,247500,286500,319500,353000
0.75,68175,77925,87675,97350,105150,112950,120750,128550,1704,1826,2191,2531,2823,3116,220500,265500,307000,342500,378000
0.8,72700,83100,93500,103850,112200,120500,128800,137100,1817,1947,2337,2700,3012,3323,235500,283500,327500,365500,403000
0.85,77265,88315,99365,110330,119170,128010,136850,145690,1931,2069,2484,2868,3200,3531,250500,301500,348000,388000,428500
0.9,81810,93510,105210,116820,126180,135540,144900,154260,2045,2191,2630,3037,3388,3739,265000,319000,368500,411000,453500
0.95,86355,98705,111055,123310,133190,143070,152950,162830,2158,2313,2776,3206,3576,3947,280500,336500,389000,434000,479000
1,90900,103900,116900,129800,140200,150600,161000,171400,2272,2435,2922,3375,3765,4155,295500,354500,409500,456500,504000
1.05,95445,109095,122745,136290,147210,158130,169050,179970,2386,2556,3068,3543,3953,4362,310000,372000,430000,479500,529500
1.1,99990,114290,128590,142780,154220,165660,177100,188540,2499,2678,3214,3712,4141,4570,325000,390000,450500,502500,554500
1.15,104535,119485,134435,149270,161230,173190,185150,197110,2613,2800,3360,3881,4329,4778,339500,407500,471000,525500,579500
1.2,109080,124680,140280,155760,168240,180720,193200,205680,2727,2922,3507,4050,4518,4986,354500,425500,491500,548000,605000
1.25,113625,129875,146125,162250,175250,188250,201250,214250,2840,3043,3653,4218,4706,5193,369000,443000,512000,571000,630000
1.3,118170,135070,151970,168740,182260,195780,209300,222820,2954,3165,3799,4387,4894,5401,384000,461000,532500,594000,655500
1.35,122715,140265,157815,175230,189270,203310,217350,231390,3067,3287,3945,4556,5082,5609,398500,478500,553000,616500,680500
1.4,127260,145460,163660,181720,196280,210840,225400,239960,3181,3409,4091,4725,5271,5817,413500,496500,573000,639500,706000
1.45,131805,150655,169505,188210,203290,218370,233450,248530,3295,3530,4237,4893,5459,6024,428500,514000,593500,662500,731000
1.5,136350,155850,175350,194700,210300,225900,241500,257100,3408,3652,4383,5062,5647,6232,443000,532000,614000,685000,756000
