ami,income1,income2,income3,income4,income5,income6,income7,income8,rent0,rent1,rent2,rent3,rent4,rent5,buy1,buy2,buy3,buy4,buy5
0.3,24400,27900,31400,34850,37650,43150,48650,54150,610,653,785,906,1078,1285,77500,94000,108500,130000,154500
0.5,40650,46450,52250,58050,62700,67350,72000,76650,1016,1088,1306,1509,1683,1858,131000,157000,182000,203500,224500
0.55,44715,51095,57475,63855,68970,74085,79200,84315,1117,1197,1436,1660,1852,2043,144000,173500,200500,224000,247500
0.6,48780,55740,62700,69660,75240,80820,86400,91980,1219,1306,1567,1811,2020,2229,157000,189000,219000,244500,270500
0.65,52845,60385,67925,75465,81510,87555,93600,99645,1321,1415,1698,1962,2188,2415,170500,205000,237500,265000,293000
0.7,56910,65030,73150,81270,87780,94290,100800,107310,1422,1524,1828,2113,2357,2601,184000,221000,255500,286000,315500
0.75,60975,69675,78375,87075,94050,101025,108000,114975,1524,1633,1959,2264,2525,2787,197500,237000,274500,306500,338000
0.8,65050,74350,83650,92900,100350,107800,115200,122650,1626,1742,2091,2415,2695,2973,210500,253000,293000,327000,360500
0.85,69105,78965,88825,98685,106590,114495,122400,130305,1727,1850,2220,2565,2862,3158,223500,268500,311000,347000,383000
0.9,73170,83610,94050,104490,112860,121230,129600,137970,1829,1959,2351,2716,3030,3344,237000,285000,329500,367500,405500
0.95,77235,88255,99275,110295,119130,127965,136800,145635,1930,2068,2481,2867,3199,3530,250500,301000,348000,388000,428500
1,81300,92900,104500,116100,125400,134700,144000,153300,2032,2177,2612,3018,3367,3716,263500,317000,366000,408500,451000
1.05,85365,97545,109725,121905,131670,141435,151200,160965,2134,2286,2743,3169,3535,3902,277500,332500,384500,429000,473500
1.1,89430,102190,114950,127710,137940,148170,158400,168630,2235,2395,2873,3320,3704,4087,290500,348500,403000,449500,496000
1.15,93495,106835,120175,133515,144210,154905,165600,176295,2337,2504,3004,3471,3872,4273,303500,364500,421000,470000,518500
1.2,97560,111480,125400,139320,150480,161640,172800,183960,2439,2613,3135,3622,4041,4459,317000,380500,439500,490000,541000
1.25,101625,116125,130625,145125,156750,168375,180000,191625,2540,2721,3265,3773,4209,4645,330000,396000,457500,510500,563500
1.3,105690,120770,135850,150930,163020,175110,187200,199290,2642,2830,3396,3924,4377,4831,343500,412000,476000,531000,586000
1.35,109755,125415,141075,156735,169290,181845,194400,206955,2743,2939,3526,4075,4546,5016,356500,428000,494500,551500,608500
1.4,113820,130060,146300,162540,175560,188580,201600,214620,2845,3048,3657,4226,4714,5202,370000,443500,512500,572000,631000
1.45,117885,134705,151525,168345,181830,195315,208800,222285,2947,3157,3788,4377,4882,5388,383000,459500,531000,592500,654000
1.5,121950,139350,156750,174150,188100,202050,216000,229950,3048,3266,3918,4528,5051,5574,396000,475500,549500,613000,676500
