category,parent_option,option,value_type,value
baseline_cost,default,baseline,per_sf,400
bedrooms,apartment,studio,sqft,450
bedrooms,apartment,1,sqft,700
bedrooms,apartment,2,sqft,900
bedrooms,apartment,3,sqft,1100
bedrooms,apartment,4,sqft,1250
bedrooms,condo,2,sqft,1200
bedrooms,condo,3,sqft,1350
bedrooms,townhome,2,sqft,1500
bedrooms,townhome,3,sqft,2000
bedrooms,townhome,4,sqft,2300
mf_efficiency_factor,condo,default,factor,0.8
mf_efficiency_factor,apartment,default,factor,0.8
mf_efficiency_factor,townhome,default,factor,1
energy_code,default,base_me_nh_code,percent,0
energy_code,default,vt_energy_code,percent,5
energy_code,default,evt_high_eff,percent,10
energy_code,default,passive_house,percent,20
energy_source,default,natural_gas,per_sf,0
energy_source,default,all_electric,per_sf,0
energy_source,default,geothermal,per_sf,12.5
infrastructure,apartment,yes,per_unit,5000
infrastructure,apartment,no,per_unit,0
infrastructure,townhome,yes,per_unit,25000
infrastructure,townhome,no,per_unit,0
infrastructure,condo,yes,per_unit,15000
infrastructure,condo,no,per_unit,0
finish_quality,default,above_average,percent,5
finish_quality,default,average,percent,0
finish_quality,default,below_average,percent,-5
solar,default,yes,per_unit,0
solar,default,no,per_unit,0
covered_parking,default,yes,per_unit,0
covered_parking,default,no,per_unit,0
